Waf: Entering directory `/Users/sangheon/Desktop/ns-3-dev/build'
[1934/1986] Compiling scratch/dumbbell.cc
[1948/1986] Linking build/scratch/dumbbell
Waf: Leaving directory `/Users/sangheon/Desktop/ns-3-dev/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.889s)
flow1  4.4s: 	22.7693 Mbit/s
flow2  4.4s: 	22.7264 Mbit/s
flow3  4.4s: 	22.6406 Mbit/s
flow0  4.5s: 	22.7693 Mbit/s
flow1  4.5s: 	22.6406 Mbit/s
flow2  4.5s: 	22.6835 Mbit/s
flow3  4.5s: 	22.7693 Mbit/s
flow0  4.6s: 	22.6835 Mbit/s
flow1  4.6s: 	22.7264 Mbit/s
flow2  4.6s: 	22.7264 Mbit/s
flow3  4.6s: 	22.7264 Mbit/s
flow0  4.7s: 	22.7264 Mbit/s
flow1  4.7s: 	22.6835 Mbit/s
flow2  4.7s: 	22.7693 Mbit/s
flow3  4.7s: 	22.6406 Mbit/s
flow0  4.8s: 	22.7264 Mbit/s
flow1  4.8s: 	22.7264 Mbit/s
flow2  4.8s: 	22.6406 Mbit/s
flow3  4.8s: 	22.7693 Mbit/s
flow0  4.9s: 	22.6406 Mbit/s
flow1  4.9s: 	22.7693 Mbit/s
flow2  4.9s: 	22.7264 Mbit/s
flow3  4.9s: 	22.6835 Mbit/s
flow0  5s: 	22.7693 Mbit/s
flow1  5s: 	22.6406 Mbit/s
flow2  5s: 	22.7264 Mbit/s
flow3  5s: 	22.7264 Mbit/s
flow0  5.1s: 	22.7264 Mbit/s
flow1  5.1s: 	22.7264 Mbit/s
flow2  5.1s: 	22.6835 Mbit/s
flow3  5.1s: 	22.7264 Mbit/s
flow0  5.2s: 	22.6835 Mbit/s
flow1  5.2s: 	22.7264 Mbit/s
flow2  5.2s: 	22.7693 Mbit/s
flow3  5.2s: 	22.6406 Mbit/s
flow0  5.3s: 	22.7264 Mbit/s
flow1  5.3s: 	22.6835 Mbit/s
flow2  5.3s: 	22.6835 Mbit/s
flow3  5.3s: 	22.7693 Mbit/s
flow0  5.4s: 	22.6406 Mbit/s
flow1  5.4s: 	22.7693 Mbit/s
flow2  5.4s: 	22.6835 Mbit/s
flow3  5.4s: 	22.7693 Mbit/s
flow0  5.5s: 	22.7693 Mbit/s
flow1  5.5s: 	22.6406 Mbit/s
flow2  5.5s: 	22.7693 Mbit/s
flow3  5.5s: 	22.6406 Mbit/s
flow0  5.6s: 	22.7264 Mbit/s
flow1  5.6s: 	22.7264 Mbit/s
flow2  5.6s: 	22.6835 Mbit/s
flow3  5.6s: 	22.7264 Mbit/s
flow0  5.7s: 	22.6406 Mbit/s
flow1  5.7s: 	22.7693 Mbit/s
flow2  5.7s: 	22.7264 Mbit/s
flow3  5.7s: 	22.7264 Mbit/s
flow0  5.8s: 	22.7693 Mbit/s
flow1  5.8s: 	22.6406 Mbit/s
flow2  5.8s: 	22.7264 Mbit/s
flow3  5.8s: 	22.6835 Mbit/s
flow0  5.9s: 	22.6835 Mbit/s
flow1  5.9s: 	22.7693 Mbit/s
flow2  5.9s: 	22.6406 Mbit/s
flow3  5.9s: 	22.7693 Mbit/s
flow0  6s: 	22.7264 Mbit/s
flow1  6s: 	22.7264 Mbit/s
flow2  6s: 	22.7693 Mbit/s
flow3  6s: 	22.6406 Mbit/s
flow0  6.1s: 	22.7264 Mbit/s
flow1  6.1s: 	22.6406 Mbit/s
flow2  6.1s: 	22.7264 Mbit/s
flow3  6.1s: 	22.7264 Mbit/s
flow0  6.2s: 	22.6835 Mbit/s
flow1  6.2s: 	22.7693 Mbit/s
flow2  6.2s: 	22.6406 Mbit/s
flow3  6.2s: 	22.7693 Mbit/s
flow0  6.3s: 	22.7264 Mbit/s
flow1  6.3s: 	22.7264 Mbit/s
flow2  6.3s: 	22.7693 Mbit/s
flow3  6.3s: 	22.6406 Mbit/s
flow0  6.4s: 	22.7264 Mbit/s
flow1  6.4s: 	22.6835 Mbit/s
flow2  6.4s: 	22.6406 Mbit/s
flow3  6.4s: 	22.7693 Mbit/s
flow0  6.5s: 	22.6835 Mbit/s
flow1  6.5s: 	22.7264 Mbit/s
flow2  6.5s: 	22.7693 Mbit/s
flow3  6.5s: 	22.6835 Mbit/s
flow0  6.6s: 	22.7264 Mbit/s
flow1  6.6s: 	22.6835 Mbit/s
flow2  6.6s: 	22.7264 Mbit/s
flow3  6.6s: 	22.6835 Mbit/s
flow0  6.7s: 	22.7264 Mbit/s
flow1  6.7s: 	22.7264 Mbit/s
flow2  6.7s: 	22.6406 Mbit/s
flow3  6.7s: 	22.7693 Mbit/s
flow0  6.8s: 	22.6835 Mbit/s
flow1  6.8s: 	22.7264 Mbit/s
flow2  6.8s: 	22.7693 Mbit/s
flow3  6.8s: 	22.6835 Mbit/s
flow0  6.9s: 	22.7693 Mbit/s
flow1  6.9s: 	22.6406 Mbit/s
flow2  6.9s: 	22.7264 Mbit/s
flow3  6.9s: 	22.6835 Mbit/s
flow0  7s: 	22.6406 Mbit/s
flow1  7s: 	22.7693 Mbit/s
flow2  7s: 	22.6835 Mbit/s
flow3  7s: 	22.7693 Mbit/s
flow0  7.1s: 	22.7264 Mbit/s
flow1  7.1s: 	22.7693 Mbit/s
